"Month","Year","Not seasonally adjusted (Thousands)...3","Combined seasonal, trading-day factor...4","Seasonally adjusted  (Thousands)...5","Domestic","...7","Not seasonally adjusted (Thousands)...8","Combined seasonal, trading-day factor...9","Seasonally adjusted  (Thousands)...10","Import","month_num","Date"
"January",1990,546.8,84.28,648.8,7.786,NA,196.5,89.52,219.5,2.634,1,1990-01-01
"February",1990,533.6,93.06,573.4,6.881,NA,182.9,84.48,216.5,2.598,2,1990-02-01
"March",1990,625.8,109.08,573.7,6.884,NA,224.5,102.46,219.1,2.629,3,1990-03-01
"April",1990,598.8,104.65,572.2,6.866,NA,203.3,96.08,211.6,2.539,4,1990-04-01
"May",1990,644.3,115.53,557.7,6.692,NA,228.1,112.31,203.1,2.437,5,1990-05-01
"June",1990,635.1,112.95,562.3,6.748,NA,222.2,107.66,206.4,2.477,6,1990-06-01
"July",1990,595.8,105.47,564.9,6.779,NA,207.4,105.28,197,2.364,7,1990-07-01
"August",1990,571.5,99.72,573.1,6.877,NA,214.5,111.2,192.9,2.315,8,1990-08-01
"September",1990,584.8,94.74,617.3,7.408,NA,184.2,98.19,187.6,2.251,9,1990-09-01
"October",1990,598.1,103.6,577.3,6.928,NA,189.7,102.21,185.6,2.227,10,1990-10-01
"November",1990,485.8,91.56,530.6,6.367,NA,175.4,94.2,186.2,2.234,11,1990-11-01
"December",1990,476.5,87.34,545.6,6.547,NA,174.6,98.2,177.8,2.134,12,1990-12-01
"January",1991,421.1,84.49,498.4,5.981,NA,133.5,90.51,147.5,1.77,1,1991-01-01
"February",1991,479,93.34,513.2,6.158,NA,142.5,84.52,168.6,2.023,2,1991-02-01
"March",1991,545,103.49,526.6,6.319,NA,185.3,99.46,186.3,2.236,3,1991-03-01
"April",1991,510.1,106.94,477,5.724,NA,180.6,101.12,178.6,2.143,4,1991-04-01
"May",1991,581.1,114.23,508.7,6.104,NA,188.4,108.34,173.9,2.087,5,1991-05-01
"June",1991,592.7,113.31,523.1,6.277,NA,179,105.11,170.3,2.044,6,1991-06-01
"July",1991,585.3,108.67,538.6,6.463,NA,187.9,107.86,174.2,2.09,7,1991-07-01
"August",1991,503.1,97.9,513.9,6.167,NA,187.3,110.24,169.9,2.039,8,1991-08-01
"September",1991,498.2,96.36,517,6.204,NA,173.2,97.91,176.9,2.123,9,1991-09-01
"October",1991,526.2,104.9,501.6,6.019,NA,175.8,103.72,169.5,2.034,10,1991-10-01
"November",1991,457.6,88.17,519,6.228,NA,148.9,90.85,163.9,1.967,11,1991-11-01
"December",1991,437.5,87.54,499.8,5.998,NA,155.7,98.23,158.5,1.902,12,1991-12-01
"January",1992,417.3,82.16,507.9,6.095,NA,143.2,85.34,167.8,2.014,1,1992-01-01
"February",1992,497.1,95.56,520.2,6.242,NA,154,86.66,177.7,2.132,2,1992-02-01
"March",1992,541,105.31,513.7,6.164,NA,179.4,106.47,168.5,2.022,3,1992-03-01
"April",1992,545.7,109.75,497.2,5.966,NA,170.1,105.85,160.7,1.928,4,1992-04-01
"May",1992,565.1,108.07,522.9,6.275,NA,168.6,102.87,163.9,1.967,5,1992-05-01
"June",1992,635.3,117.11,542.5,6.51,NA,189.5,109.92,172.4,2.069,6,1992-06-01
"July",1992,573.1,107.81,531.6,6.379,NA,160.5,107.72,149,1.788,7,1992-07-01
"August",1992,483,95.68,504.8,6.058,NA,161.8,106.52,151.9,1.823,8,1992-08-01
"September",1992,515.6,97.82,527.1,6.325,NA,158.1,101.87,155.2,1.862,9,1992-09-01
"October",1992,537.1,100.83,532.7,6.392,NA,157.4,100,157.4,1.889,10,1992-10-01
"November",1992,464.7,88.73,523.7,6.284,NA,136.3,88.16,154.6,1.855,11,1992-11-01
"December",1992,501.6,90.82,552.3,6.628,NA,158.9,100.13,158.7,1.904,12,1992-12-01
"January",1993,435.8,80.58,540.8,6.49,NA,126.4,83.32,151.7,1.82,1,1993-01-01
"February",1993,466.2,92.76,502.6,6.031,NA,127.2,85.54,148.7,1.784,2,1993-02-01
"March",1993,581.5,110.3,527.2,6.326,NA,153.6,109.17,140.7,1.688,3,1993-03-01
"April",1993,607.1,105.84,573.6,6.883,NA,161.6,100.56,160.7,1.928,4,1993-04-01
"May",1993,639.5,112.23,569.8,6.838,NA,172.6,106.94,161.4,1.937,5,1993-05-01
"June",1993,671.3,116.1,578.2,6.938,NA,164.3,111.69,147.1,1.765,6,1993-06-01
"July",1993,598.9,104.96,570.6,6.847,NA,164.6,107.09,153.7,1.844,7,1993-07-01
"August",1993,537.3,100.64,533.9,6.407,NA,159.8,112.38,142.2,1.706,8,1993-08-01
"September",1993,554.1,101.65,545.1,6.541,NA,149.9,103.67,144.6,1.735,9,1993-09-01
"October",1993,581.5,95.77,607.2,7.286,NA,135.8,93.14,145.8,1.75,10,1993-10-01
"November",1993,538.4,89.54,601.3,7.216,NA,129.2,90.1,143.4,1.721,11,1993-11-01
"December",1993,522.4,89.47,583.9,7.007,NA,138.7,96.45,143.8,1.726,12,1993-12-01
"January",1994,488.5,80.7,605.3,7.264,NA,117.6,82.01,143.4,1.721,1,1994-01-01
"February",1994,573.3,92.72,618.3,7.42,NA,125.3,85.88,145.9,1.751,2,1994-02-01
"March",1994,700.5,114.97,609.3,7.312,NA,175.7,116.59,150.7,1.808,3,1994-03-01
"April",1994,637.5,100.6,633.7,7.604,NA,148.3,95,156.1,1.873,4,1994-04-01
"May",1994,661.4,115.05,574.9,6.899,NA,153.1,108.35,141.3,1.696,5,1994-05-01
"June",1994,702.6,119.86,586.2,7.034,NA,168.8,115.54,146.1,1.753,6,1994-06-01
"July",1994,562.9,98.77,569.9,6.839,NA,150.3,98.62,152.4,1.829,7,1994-07-01
"August",1994,603.8,102.53,588.9,7.067,NA,178.5,115.24,154.9,1.859,8,1994-08-01
"September",1994,599.9,100.18,598.8,7.186,NA,141.9,100.57,141.1,1.693,9,1994-09-01
"October",1994,605.4,97.98,617.9,7.415,NA,132.6,94.44,140.4,1.685,10,1994-10-01
"November",1994,553.4,88.04,628.6,7.543,NA,117.3,88.86,132,1.584,11,1994-11-01
"December",1994,566,90.81,623.3,7.48,NA,125.8,96.18,130.8,1.57,12,1994-12-01
"January",1995,471.7,82.61,571,6.853,NA,109.6,84.37,129.9,1.559,1,1995-01-01
"February",1995,531.5,93.2,570.2,6.843,NA,116.3,87.2,133.4,1.6,2,1995-02-01
