"Month","Year","Not seasonally adjusted (Thousands)...3","Combined seasonal, trading-day factor...4","Seasonally adjusted  (Thousands)...5","Domestic","...7","Not seasonally adjusted (Thousands)...8","Combined seasonal, trading-day factor...9","Seasonally adjusted  (Thousands)...10","Import","month_num","Date"
"January",1990,350.6,84.93,412.8,4.954,NA,45.6,86.01,53,0.636,1,1990-01-01
"February",1990,293.8,88.38,332.4,3.989,NA,41.7,83.69,49.8,0.598,2,1990-02-01
"March",1990,364,107.71,338,4.056,NA,55.6,105.23,52.8,0.634,3,1990-03-01
"April",1990,351.3,105.1,334.2,4.011,NA,48.1,97.33,49.5,0.593,4,1990-04-01
"May",1990,374.8,114.65,326.9,3.923,NA,60.3,104.78,57.6,0.691,5,1990-05-01
"June",1990,366.3,111.42,328.8,3.945,NA,57.8,99.5,58.1,0.697,6,1990-06-01
"July",1990,365.7,106.97,341.9,4.103,NA,49.4,109.16,45.2,0.543,7,1990-07-01
"August",1990,327.7,103.37,317,3.804,NA,59.7,122.2,48.9,0.586,8,1990-08-01
"September",1990,310.6,97.03,320.1,3.841,NA,43.4,99.29,43.7,0.525,9,1990-09-01
"October",1990,308.4,98.94,311.7,3.74,NA,48.9,99.85,49,0.588,10,1990-10-01
"November",1990,275.7,89.59,307.8,3.693,NA,45.3,93.23,48.6,0.583,11,1990-11-01
"December",1990,267.9,92.73,288.9,3.466,NA,46.9,101.41,46.3,0.555,12,1990-12-01
"January",1991,230.1,83.28,276.3,3.316,NA,37.5,85.11,44.1,0.529,1,1991-01-01
"February",1991,251.1,87.38,287.4,3.449,NA,38,83.65,45.4,0.545,2,1991-02-01
"March",1991,306.8,104.14,294.6,3.535,NA,45.9,104.86,43.8,0.526,3,1991-03-01
"April",1991,305.7,107.32,284.9,3.419,NA,43.2,96.16,44.9,0.539,4,1991-04-01
"May",1991,337.3,114.9,293.5,3.522,NA,48.2,103.85,46.5,0.557,5,1991-05-01
"June",1991,339.8,112.01,303.4,3.641,NA,45.2,99.77,45.3,0.543,6,1991-06-01
"July",1991,339,112.23,302,3.625,NA,52,110.56,47,0.564,7,1991-07-01
"August",1991,299.1,99.9,299.4,3.592,NA,56,121.36,46.2,0.554,8,1991-08-01
"September",1991,330.8,97.98,337.7,4.052,NA,42.2,99.23,42.6,0.511,9,1991-09-01
"October",1991,284.2,98.94,287.2,3.447,NA,43.3,100.91,43,0.515,10,1991-10-01
"November",1991,273.8,88.87,308.1,3.697,NA,37,94.1,39.3,0.472,11,1991-11-01
"December",1991,307.9,91.39,337,4.044,NA,40.3,101.59,39.7,0.476,12,1991-12-01
"January",1992,259.4,81.55,318.1,3.817,NA,31.2,84.95,36.8,0.441,1,1992-01-01
"February",1992,290.4,89.52,324.4,3.893,NA,30.2,84.12,35.9,0.431,2,1992-02-01
"March",1992,349.8,105.83,330.6,3.967,NA,38,103.79,36.6,0.439,3,1992-03-01
"April",1992,372.3,111.99,332.5,3.99,NA,33.8,95.06,35.5,0.426,4,1992-04-01
"May",1992,382.3,108.63,351.9,4.223,NA,33.9,102.9,32.9,0.395,5,1992-05-01
"June",1992,417.1,115.33,361.7,4.34,NA,33.2,100.08,33.2,0.398,6,1992-06-01
"July",1992,366.4,108.59,337.4,4.049,NA,35.7,111.76,32,0.384,7,1992-07-01
"August",1992,367.7,99.87,368.2,4.418,NA,32.2,120.58,26.7,0.321,8,1992-08-01
"September",1992,368.3,97.21,378.9,4.546,NA,31.6,99.48,31.8,0.381,9,1992-09-01
"October",1992,381.1,97.05,392.6,4.712,NA,31.8,101.72,31.3,0.375,10,1992-10-01
"November",1992,339.6,91.73,370.2,4.442,NA,29.7,94.4,31.4,0.377,11,1992-11-01
"December",1992,352.6,92.55,381,4.572,NA,34.6,101.25,34.2,0.41,12,1992-12-01
"January",1993,308.1,82.04,375.6,4.507,NA,26.9,85.81,31.3,0.376,1,1993-01-01
"February",1993,334.6,89.63,373.3,4.48,NA,28.5,84.88,33.6,0.403,2,1993-02-01
"March",1993,434.9,111.97,388.4,4.661,NA,32.7,107.3,30.5,0.366,3,1993-03-01
"April",1993,446.3,106.3,419.9,5.038,NA,30.8,95.73,32.2,0.386,4,1993-04-01
"May",1993,473.1,111.76,423.3,5.08,NA,31.3,105,29.8,0.357,5,1993-05-01
"June",1993,487.7,114.02,427.7,5.132,NA,30.5,103.66,29.4,0.353,6,1993-06-01
"July",1993,442.8,105.07,421.4,5.057,NA,34.2,104.05,32.9,0.395,7,1993-07-01
"August",1993,402.1,100.35,400.7,4.809,NA,34.2,115.89,29.5,0.354,8,1993-08-01
"September",1993,402,96,418.8,5.025,NA,32.5,104.03,31.3,0.375,9,1993-09-01
"October",1993,413.2,94.78,436,5.232,NA,26.5,95.12,27.9,0.335,10,1993-10-01
"November",1993,419.9,96.04,437.2,5.246,NA,28.4,95.71,29.6,0.356,11,1993-11-01
"December",1993,435.8,92.97,468.7,5.625,NA,28,104.8,26.7,0.321,12,1993-12-01
"January",1994,389.7,82.36,473.2,5.678,NA,26.1,84.37,31,0.372,1,1994-01-01
"February",1994,423.8,89.62,472.9,5.674,NA,24.8,85.35,29.1,0.349,2,1994-02-01
"March",1994,534.7,116.1,460.6,5.527,NA,31.1,113.87,27.3,0.327,3,1994-03-01
"April",1994,493.9,101.53,486.4,5.837,NA,27.7,90.6,30.5,0.366,4,1994-04-01
"May",1994,507.7,115.06,441.3,5.295,NA,31.8,106.29,29.9,0.359,5,1994-05-01
"June",1994,538.2,115.85,464.6,5.575,NA,36.1,107.95,33.4,0.401,6,1994-06-01
"July",1994,446.9,98.07,455.7,5.469,NA,30.6,95.38,32.1,0.385,7,1994-07-01
"August",1994,472.4,100.51,470.1,5.641,NA,42.4,120.7,35.2,0.422,8,1994-08-01
"September",1994,443.7,95.26,465.7,5.589,NA,36.8,99.62,36.9,0.443,9,1994-09-01
"October",1994,484.6,97.73,495.9,5.95,NA,37.9,97.29,39,0.467,10,1994-10-01
"November",1994,463.5,93.61,495.2,5.942,NA,35,97.36,35.9,0.431,11,1994-11-01
"December",1994,459.1,96.21,477.2,5.727,NA,36,103.13,34.9,0.419,12,1994-12-01
